N	Date	Time	Current,mA	Voltage,V	Field,kV/cm	FrameN	RunN	Trig	TrigTime,s	
0000262	16.03.2022	15:53:59	+00.000	+160.000	+50.000	00008	00002	1	00.00	
0000263	16.03.2022	15:53:59	+00.000	+160.000	+50.000	00008	00002	1	00.00	
0000264	16.03.2022	15:53:59	+00.000	+160.000	+50.000	00008	00002	1	00.00	
0000265	16.03.2022	15:53:59	+00.000	+160.000	+50.000	00008	00002	1	00.00	
0000266	16.03.2022	15:53:59	+00.000	+160.000	+50.000	00008	00002	1	00.00	
0000267	16.03.2022	15:53:59	+00.000	+160.000	+50.000	00008	00002	1	00.00	
0000268	16.03.2022	15:54:00	+00.000	+160.000	+50.000	00008	00002	1	00.00	
0000269	16.03.2022	15:54:00	+00.000	+160.000	+50.000	00008	00002	1	00.00	
0000270	16.03.2022	15:54:00	+00.000	+160.000	+50.000	00008	00002	1	00.00	
0000271	16.03.2022	15:54:00	+00.000	+160.000	+50.000	00008	00002	1	00.00	
0000272	16.03.2022	15:54:00	+00.000	+160.000	+50.000	00008	00002	1	00.00	
0000273	16.03.2022	15:54:00	+00.000	+160.000	+50.000	00008	00002	1	00.00	
0000274	16.03.2022	15:54:00	+00.000	+160.000	+50.000	00009	00003	0	01.25	
0000275	16.03.2022	15:54:00	+00.000	+320.000	+100.000	00009	00003	0	00.00	
0000276	16.03.2022	15:54:00	+00.000	+320.000	+100.000	00009	00003	0	00.00	
0000277	16.03.2022	15:54:00	+00.000	+320.000	+100.000	00009	00003	0	00.00	
0000278	16.03.2022	15:54:01	+00.000	+320.000	+100.000	00009	00003	0	00.00	
0000279	16.03.2022	15:54:01	+00.000	+320.000	+100.000	00009	00003	0	00.00	
0000280	16.03.2022	15:54:01	+00.000	+320.000	+100.000	00009	00003	0	00.00	
0000281	16.03.2022	15:54:01	+00.000	+320.000	+100.000	00009	00003	0	00.00	
0000282	16.03.2022	15:54:01	+00.000	+320.000	+100.000	00009	00003	0	00.00	
0000283	16.03.2022	15:54:01	+00.000	+320.000	+100.000	00009	00003	0	00.00	
0000284	16.03.2022	15:54:01	+00.000	+320.000	+100.000	00009	00003	0	00.00	
0000285	16.03.2022	15:54:01	+00.000	+320.000	+100.000	00009	00003	0	00.00	
0000286	16.03.2022	15:54:01	+00.000	+320.000	+100.000	00009	00003	0	00.00	
0000287	16.03.2022	15:54:01	+00.000	+320.000	+100.000	00009	00003	1	00.00	
0000288	16.03.2022	15:54:02	+00.000	+320.000	+100.000	00009	00003	1	00.00	
0000289	16.03.2022	15:54:02	+00.000	+320.000	+100.000	00009	00003	1	00.00	
0000290	16.03.2022	15:54:02	+00.000	+320.000	+100.000	00009	00003	1	00.00	
0000291	16.03.2022	15:54:02	+00.000	+320.000	+100.000	00009	00003	1	00.00	
0000292	16.03.2022	15:54:02	+00.000	+320.000	+100.000	00009	00003	1	00.00	
0000293	16.03.2022	15:54:02	+00.000	+320.000	+100.000	00009	00003	1	00.00	
0000294	16.03.2022	15:54:02	+00.000	+320.000	+100.000	00009	00003	1	00.00	
